trump_articles_200_categorized_types1-6
index,title,description,opening,category
1,Does the guilty verdict destroy Trump or make him even stronger?,"I opposed the Republican attempt to use the personal life of Bill Clinton to impeach him, and this attempt to use the personal life of Donald Trump to jail him ...","NEW You can now listen to Fox News articles!

The verdict heard round the world will throw a lightning bolt into our politics as those on the left cheer and tho......",TYPE 1
2,Affordability or Trump? What matters more to these voters,"The fastest-growing big city in Canada has some serious growing pains, and it could have a major impact on the outcome of the federal election. With six seats u...","Affordability or Trump? What matters more to these voters

News

Duration 14:04

The fastest-growing big city in Canada has some serious growing pains, and it c......",TYPE 2
3,Liz Cheney says Republicans face a choice: Trump or the Constitution,"As the Jan. 6 committee continues to present its findings, Liz Cheney said Republicans face a choice between Trump and the Constitution.","Rep. Liz Cheney (R-Wyo.) rattled off a list Wednesday night of what she considers the biggest threats facing the country, ranging from government regulation to ......",TYPE 2
4,"Opinion | Trump Exists, With or Without Television Cameras",The Constitution and our democracy do not bar him from running — yet CNN should not ask him tough questions?,"As a former executive of Fox News, I never expected to write this: CNN performed a valuable journalistic service this week by hosting a spirited town hall with ......",TYPE 5
5,Conservatives warn Haley after Trump wins New Hampshire primary: 'Drop out or help Democrats',"Reactions on social media poured in on Tuesday night from conservatives, as well as President Biden, chiming in about what Trump's New Hampshire victory means g...",Reactions quickly started pouring in on social media following former President Trump’s victory over former United Nations ambassador Nikki Haley in the New H......,TYPE 2
6,Black Michigan voter tells NBC 'I don't hear' fascism or anger from Trump,Black Michigan voter and Trump supporter Allen Tomkowiak told an NBC News crew Sunday that he doesn’t believe claims that the former president is a fascist.,"One Black Michigan voter does not believe recent claims that former President Trump is a ""fascist.""

Trump voter Allen Tomkowiak spoke to an NBC News crew Sunda......",TYPE 2
7,How Donald Trump uses dishonesty,The 2024 Republican front-runner has a robust record of deploying misinformation and lies. It’s useful to understand how he does so and why it works.,"Listen 8 min Share Comment Add to your saved stories Save

You don’t need to know a lot about Donald Trump to have a broad understanding of what motivates him......",TYPE 2
8,Trump seeks to discuss classified information at or near Mar-a-Lago,Trump’s attorneys seek permission to allow him and his legal team to discuss sensitive information at a protected facility at or near his Mar-A-Lago residence...,"More on the Trump classified documents indictment

The latest: Donald Trump faces a new federal indictment in which he is charged with seeking to prevent securi......",TYPE 1
9,Hackers falsely claim Donald Trump is dead after taking control of Trump Jr.'s X account,"'I'm sad to announce, my father Donald Trump has passed away. I will be running for president in 2024,' read one of the since-deleted posts","'I'm sad to announce, my father Donald Trump has passed away. I will be running for president in 2024,' read one of the since-deleted posts

Pranksters shared a......",TYPE 6
10,"Lindsey Graham urges McConnell truce, says Trump is 'indispensable' GOP leader, 'like it or not'","President Trump is the “captain” of the federal Republican “team” going into 2022, whether or not intraparty critics or detractors agree, Sen. Lindsey G...","Former President Donald Trump is the ""captain"" of the Republican ""team"" going into 2022, whether or not intraparty critics or detractors agree, Sen. Lindsey Gra......",TYPE 2
11,CNN host clashes with GOP lawmaker over Trump saying he'll protect women whether they 'like it or not',"CNN host John Berman and Rep. Byron Donalds, R-Fla., argued over a clip of former President Trump saying he'd protect women from migrant gangs whether they'd","CNN anchor John Berman grilled Rep. Byron Donalds, R-Fla., over former President Trump’s recent comments that he will protect women whether they ""like it or n......",TYPE 2
12,"Donald Trump Jr., Ivanka Trump subpoenaed by NY attorney general in Trump Organization probe",New York Attorney General Letitia James recently issued subpoenas for former President Trump and his two eldest children in connection with a civil investigatio...,"NEW You can now listen to Fox News articles!

New York Attorney General Letitia James recently issued subpoenas for former President Donald Trump and his two el......",TYPE 6
13,Teamsters union declines to endorse Trump or Harris for president,"The International Brotherhood of Teamsters has declined to endorse Kamala Harris or Donald Trump for president, saying neither candidate has sufficient support ...","WASHINGTON (AP) — The International Brotherhood of Teamsters declined Wednesday to endorse Kamala Harris or Donald Trump for president, saying neither candida......",TYPE 2
14,'Justice' or 'Travesty'?: The interne erupts after Trump guilty verdict,A Manhattan jury ruled that former President Donald Trump was guilty on all 34 accounts of falsifying business records in the first degree Thursday afternoon.,"The internet erupted after a New York City jury found former President Trump guilty in his hush money trial on Thursday.

Trump was found guilty on all 34 count......",TYPE 1
15,Donald Trump does not understand democracy,"The former president views leadership like a private business, not as a function of public trust.","Listen 6 min Comment Gift Article Share

For decades, Donald Trump’s only boss was Donald Trump. As head of the Trump Organization, the real estate magnate di......",TYPE 6
16,Riley Gaines mocks Mark Cuban for suggesting pro-Trump women aren't 'strong' or 'intelligent',"Former NCAA swimmer and OutKick contributor Riley Gaines called out billionaire Mark Cuban for comments about former President Trump never being seen around ""st...","Billionaire Mark Cuban's recent comments about former President Trump never being seen around ""strong"" or ""intelligent"" women has earned him a frenzy of backlas......",TYPE 2
17,"J.D. Tuccille: Donald Trump, socialist",Many of the U.S. president’s recent economic moves extend state control over the economy,"Article content

There was a time, not so long ago, when you could assume a Republican administration in Washington D.C. would generally favour free markets —......",TYPE 4
18,Republican rift exposes choice: With Trump or against him,NEW YORK (AP) — Senate Republicans blame the Republican National Committee. The RNC blames two Republican House members. They blame former President Donald Tr...,"Senate Minority Leader Mitch McConnell of Ky., arrives to speak to reporters on Capitol Hill in Washington, Tuesday, Feb. 8, 2022. Senate Republicans blame the ......",TYPE 2
19,"Adam Pankratz: Forget Trump or the Convoy, leftists are the real threat","When I was a child on camping trips I was always scared of bears. Young though I was, my zeal for a clean tent and procedural correctness with regards to bear?...","This advertisement has not loaded yet, but your article continues below.

'Am I really the best the Liberals can do?' Inside the thoughts of the federal grocery......",TYPE 5
20,"The veepstakes goes 'Apprentice': Will Trump really pick Rubio, Vance or Burgum?",FOX News' Howard Kurtz breaks down the three vying to be former President Trump's VP on the 2024 Republican ticket. Here's what to look for from Gov. Doug Burgu...,"For months, the media-industrial complex has churned out useless speculation about the veepstakes, much of it generated by the wannabe candidates themselves.

O......",TYPE 2
21,Trump answers whether Comey indictment is about justice or revenge,"President Donald Trump says James Comey's indictment is “about justice, not revenge,","NEW You can now listen to Fox News articles!

President Donald Trump told reporters Friday that the indictment against former FBI Director James Comey is about ......",TYPE 1
22,Robert De Niro warns on 'The View' that Trump could return to power like Hitler or Mussolini,Actor Robert De Niro slammed former President Trump in a guest appearance on ABC's,"Hollywood actor Robert De Niro warned on Tuesday that Donald Trump could ""change this country"" like fascist dictators did in Europe.

""I don’t understand why ......",TYPE 2
23,Donald Trump deigns to see Black voters now,"Trump deals with the Black population when they fit comfortably into his narrative, not when they challenge it",Presidential candidate Donald Trump has been touting his newfound appeal to Black voters who wanted little to do with him in previous election cycles. It would ......,TYPE 1
